Source,Target,Type,Id,Label,timeset,Weight,r,p
ANT(6)-Ia,Int-Tn916,Undirected,0,,,0.509770005,0.509770005,2.03E-48
APH(3')-IIIa,Int-Tn916,Undirected,1,,,0.524131887,0.524131887,1.32E-51
cmx,Int-Tn916,Undirected,2,,,0.555229528,0.555229528,4.93E-59
ErmB,Int-Tn916,Undirected,3,,,0.537892505,0.537892505,8.26E-55
ErmF,Int-Tn916,Undirected,4,,,0.509393618,0.509393618,2.43E-48
fexA,Int-Tn916,Undirected,5,,,0.539200157,0.539200157,4.02E-55
floR,Int-Tn916,Undirected,6,,,0.507632712,0.507632712,5.86E-48
optrA,Int-Tn916,Undirected,7,,,0.54732596,0.54732596,4.45E-57
sul2,Int-Tn916,Undirected,8,,,0.507652349,0.507652349,5.82E-48
tet(33),Int-Tn916,Undirected,9,,,0.548073972,0.548073972,2.92E-57
tet(40),Int-Tn916,Undirected,10,,,0.513028567,0.513028567,3.96E-49
tet(45),Int-Tn916,Undirected,11,,,0.518037717,0.518037717,3.14E-50
tet(W/N/W),Int-Tn916,Undirected,12,,,0.571397946,0.571397946,3.21E-63
tet(Z),Int-Tn916,Undirected,13,,,0.509690648,0.509690648,2.10E-48
tetM,Int-Tn916,Undirected,14,,,0.568915865,0.568915865,1.45E-62
tetO,Int-Tn916,Undirected,15,,,0.521659035,0.521659035,4.76E-51
tetQ,Int-Tn916,Undirected,16,,,0.550640872,0.550640872,6.63E-58
tetW,Int-Tn916,Undirected,17,,,0.517158923,0.517158923,4.89E-50
adeF,int2,Undirected,18,,,0.51674517,0.51674517,6.03E-50
aadA15,intI1,Undirected,19,,,0.500677663,0.500677663,1.78E-46
adeF,intI1,Undirected,20,,,0.535604667,0.535604667,2.90E-54
ANT(3'')-IIa,intI1,Undirected,21,,,0.732910429,0.732910429,1.06E-122
APH(3'')-Ib,intI1,Undirected,22,,,0.528026806,0.528026806,1.70E-52
APH(6)-Id,intI1,Undirected,23,,,0.594721171,0.594721171,1.04E-69
cmx,intI1,Undirected,24,,,0.520473787,0.520473787,8.83E-51
msrE,intI1,Undirected,25,,,0.556458867,0.556458867,2.42E-59
